id_produit,nom_produit,categorie,prix_unitaire
132,rencontre,juste,4309.19
133,animal,sous,4897.36
134,inviter,important,2448.73
135,rouge,malgré,1639.02
136,vers,flamme,3127.13
137,grâce,droite,3588.19
138,dur,intérêt,961.89
139,science,secours,3390.03
140,affirmer,juger,1889.94
141,cuisine,éternel,678.67
142,présenter,faire,968.71
143,saluer,masse,4000.4
144,cour,frère,3808.12
145,vol,souffrance,2938.45
146,lutte,cent,4503.8
147,lit,profiter,268.82
148,chien,retenir,2024.24
149,chez,verser,2926.59
150,simplement,lui,4555.22
151,face,discours,4974.18
152,bois,lueur,3661.15
153,avec,riche,3033.33
154,propre,traîner,1110.02
155,dix,serrer,3109.05
156,masse,cours,1759.09
157,envie,calme,504.55
158,douter,malade,2212.27
159,arbre,école,3918.54
160,exister,toit,3141.97
161,tirer,vide,520.54
162,jamais,fleur,1751.3
163,nu,saluer,4735.12
164,pousser,hier,2734.96
165,respecter,second,2627.0
166,malgré,payer,3486.44
167,musique,car,1465.63
168,que,précéder,4639.22
169,désormais,bande,4967.09
170,rappeler,voix,2777.61
171,sembler,fortune,4820.99
172,que,séparer,4216.33
173,arriver,spectacle,1500.29
174,carte,surprendre,4553.58
175,après,énergie,3014.02
176,vrai,ton,2628.24
177,un,passé,1793.5
178,après,rejoindre,2318.82
179,accepter,depuis,971.95
180,éteindre,discours,1759.82
181,vouloir,pauvre,4807.6
182,jeu,cou,2393.49
183,amour,fidèle,955.58
184,chef,queue,2526.15
185,accompagner,prouver,2871.23
186,vivant,aile,3630.66
187,un,mon,3042.88
188,crainte,admettre,3579.56
189,fatigue,mur,517.06
190,ministre,fait,3390.22
191,blanc,mieux,2984.47
192,bataille,essayer,3161.01
193,cuisine,après,4011.69
194,travers,nuage,357.45
195,baisser,long,1205.36
196,égal,feu,4486.57
197,mais,prier,192.15
198,cheveu,ramasser,4963.72
199,habitant,cinq,887.1
200,pourquoi,réveiller,2793.39
